Card Name,Employment Type Salaried,Salaried Minimum Age,Salaried Maximum Age,Minimum Net Monthly Salary for Salaried Person in Rupees,Employment Type Self Employeed,Self Employeed Minimum Age,Self Employeed Maximum Age,Minimum ITR for Self Employeed Person per annum in Rupees
Pixel Play Credit Card,Yes,21,60,25000,Yes,21,65,600000
Millennia Credit Card,Yes,21,40,35000,Yes,21,45,600000
Swiggy HDFC Bank Credit Card,Yes,21,60,15000,Yes,21,65,600000
Regalia Gold Credit Card,Yes,21,60,100000,Yes,21,65,1800000
IRCTC HDFC Bank Credit Card,Yes,21,60,15000,Yes,21,65,600000
IndianOil HDFC Bank Credit Card,Yes,21,60,12000,Yes,21,65,600000
Shoppers Stop HDFC Bank Credit Card,Yes,21,60,20000,Yes,21,65,600000
Tata Neu Infinity HDFC Bank Credit Card,Yes,21,60,100000,Yes,21,65,1200000
Freedom Credit Card,Yes,21,60,12000,Yes,21,65,600000
Diners Club Privilege Credit Card,Yes,21,60,35000,Yes,21,65,600000
